"","Generation","strategy","zo","ratio","fit_media","fit_sd"
"16317",127,"fit_O",29,3.625,12.392355167342,0.227694070871711
"16318",127,"fit_O",30,3.75,12.878485081049,0.222608269277172
"16319",127,"fit_O",31,3.875,13.183763808858,0.203222578854543
"16320",127,"fit_O",32,4,13.4664339607784,0.254996376636275
"16321",127,"fit_Y",1,0.125,8.55072346343277,0.0570002767249543
"16322",127,"fit_Y",2,0.25,7.87257201474145,0.0897570442188599
"16323",127,"fit_Y",3,0.375,7.75167043463323,0.143615666806659
"16324",127,"fit_Y",4,0.5,7.61791018893868,0.047905420779041
"16325",127,"fit_Y",5,0.625,8.04974533578638,0.0244984289818959
"16326",127,"fit_Y",6,0.75,8.49552865955721,0.017977857790879
"16327",127,"fit_Y",7,0.875,8.52115740864101,0.0256370865869893
"16328",127,"fit_Y",8,1,8.63369274655422,0.0383873768324958
"16329",127,"fit_Y",9,1.125,8.88211897962188,0.0563707235453949
"16330",127,"fit_Y",10,1.25,9.2540502399915,0.0938065697130386
"16331",127,"fit_Y",11,1.375,9.48962875589257,0.111358792611071
"16332",127,"fit_Y",12,1.5,9.73837779750135,0.141463759332167
"16333",127,"fit_Y",13,1.625,9.08926549693747,2.52678656038242
"16334",127,"fit_Y",14,1.75,5.06902967913753,4.73328844097478
"16335",127,"fit_Y",15,1.875,5.70766176383266,3.87274872683377
"16336",127,"fit_Y",16,2,7.09914223544041,2.64691164601795
"16337",127,"fit_Y",17,2.125,7.42460595140095,2.21418794708685
"16338",127,"fit_Y",18,2.25,7.18957240977802,2.55119921224255
"16339",127,"fit_Y",19,2.375,7.49449791245003,2.25796817915672
"16340",127,"fit_Y",20,2.5,7.69270336900522,1.80539662524608
"16341",127,"fit_Y",21,2.625,8.08772824745598,0.280465409895023
"16342",127,"fit_Y",22,2.75,8.0677716525654,0.231670640201809
"16343",127,"fit_Y",23,2.875,7.90446002629498,1.16579200980781
"16344",127,"fit_Y",24,3,8.0468207146679,0.191467476139188
"16345",127,"fit_Y",25,3.125,8.23024538566168,0.156542579174045
"16346",127,"fit_Y",26,3.25,10.8019875077999,0.344152602875246
"16347",127,"fit_Y",27,3.375,8.57114460073968,0.398534635005378
"16348",127,"fit_Y",28,3.5,9.17150219498206,0.490486408054028
"16349",127,"fit_Y",29,3.625,10.913823187197,0.470965092702198
"16350",127,"fit_Y",30,3.75,12.2557096795562,0.451548103860067
"16351",127,"fit_Y",31,3.875,13.4117931960786,0.473610805227437
"16352",127,"fit_Y",32,4,14.3350602318208,0.639745674497424
"16353",127,"fit_total",1,0.125,5.5489675,0.265822022308521
"16354",127,"fit_total",2,0.25,5.1061095,0.13467255231944
"16355",127,"fit_total",3,0.375,4.7578,0.204918819230317
"16356",127,"fit_total",4,0.5,4.605779,0.197052139716032
"16357",127,"fit_total",5,0.625,6.3501505,0.0819782197284649
"16358",127,"fit_total",6,0.75,7.34007,0.0514161919824854
"16359",127,"fit_total",7,0.875,7.2023375,0.0646970529104922
"16360",127,"fit_total",8,1,7.173957,0.0738790309433693
"16361",127,"fit_total",9,1.125,8.066108,0.102415692778366
"16362",127,"fit_total",10,1.25,8.6203205,0.133118114009797
"16363",127,"fit_total",11,1.375,8.7121215,0.16799906148352
"16364",127,"fit_total",12,1.5,8.778163,0.196207154059276
"16365",127,"fit_total",13,1.625,8.606434,1.33762203996948
"16366",127,"fit_total",14,1.75,6.6534755,2.49909006885451
"16367",127,"fit_total",15,1.875,6.9084475,2.04701028446755
"16368",127,"fit_total",16,2,7.624307,1.40935383928024
"16369",127,"fit_total",17,2.125,7.7716235,1.16920975063612
"16370",127,"fit_total",18,2.25,7.604283,1.29565012699292
"16371",127,"fit_total",19,2.375,7.797764,1.17626103247502
"16372",127,"fit_total",20,2.5,7.8935875,0.958108723622515
"16373",127,"fit_total",21,2.625,8.081456,0.306057693716117
"16374",127,"fit_total",22,2.75,8.090447,0.322134929837191
"16375",127,"fit_total",23,2.875,7.998105,0.659957357571784
"16376",127,"fit_total",24,3,8.063769,0.267517785661916
"16377",127,"fit_total",25,3.125,8.254747,0.192078579224675
"16378",127,"fit_total",26,3.25,10.9146985,0.327557138546665
"16379",127,"fit_total",27,3.375,8.6102815,0.416430185416487
"16380",127,"fit_total",28,3.5,9.241181,0.502079431659931
"16381",127,"fit_total",29,3.625,10.9986715,0.450686392692672
"16382",127,"fit_total",30,3.75,12.3055845,0.418847757815439
"16383",127,"fit_total",31,3.875,13.389375,0.434164167124777
"16384",127,"fit_total",32,4,14.2395365,0.588211291138635
"16385",128,"fit_B",1,0.125,6.25771145646441,0.14909528264217
"16386",128,"fit_B",2,0.25,5.01009663557786,0.240097178513718
"16387",128,"fit_B",3,0.375,4.48970781547762,0.193886570495954
"16388",128,"fit_B",4,0.5,4.29156202633465,0.130410965789528
"16389",128,"fit_B",5,0.625,5.62814636751263,0.0952182257028644
"16390",128,"fit_B",6,0.75,6.17292355568523,0.0833280760910206
"16391",128,"fit_B",7,0.875,6.00356869845303,0.0901484542314283
"16392",128,"fit_B",8,1,5.86743160579047,0.0968558080086348
"16393",128,"fit_B",9,1.125,6.12428998668288,0.128989854829366
"16394",128,"fit_B",10,1.25,5.99753101029509,0.159539764783335
"16395",128,"fit_B",11,1.375,5.97875832016618,0.179474495653735
"16396",128,"fit_B",12,1.5,5.93177342984904,0.207476469592566
"16397",128,"fit_B",13,1.625,5.53448363983499,0.773320603078717
"16398",128,"fit_B",14,1.75,4.25733468190369,1.7030530060109
"16399",128,"fit_B",15,1.875,2.13786679091655,2.31730017986787
"16400",128,"fit_B",16,2,0.824752508004396,1.72639776826552
"16401",128,"fit_B",17,2.125,0.736510442612754,1.71614425525283
"16402",128,"fit_B",18,2.25,1.00439191485975,2.02474775164997
"16403",128,"fit_B",19,2.375,1.02505642620333,2.04512372055146
"16404",128,"fit_B",20,2.5,0.722989516894123,1.85848257308634
"16405",128,"fit_B",21,2.625,0.732657991638462,1.95897688745724
"16406",128,"fit_B",22,2.75,0.485466633231829,1.68150626738316
"16407",128,"fit_B",23,2.875,0.429808570358677,1.4944064153117
"16408",128,"fit_B",24,3,0.331829449288151,1.32529346604892
"16409",128,"fit_B",25,3.125,0.165376644696894,0.947474297563916
"16410",128,"fit_B",26,3.25,0,0
