t,y,estrategia,n_vizinhos_media
44,18,B,7.339584354705556
45,18,O,0.0
45,18,Y,20.172960370163928
45,18,B,7.281411290748326
46,18,O,0.0
46,18,Y,20.1716546135617
46,18,B,7.3294920553567495
47,18,O,0.0
47,18,Y,20.16201467644865
47,18,B,7.265143638552201
48,18,O,0.0
48,18,Y,20.175196671584334
48,18,B,7.334335386459923
49,18,O,0.0
49,18,Y,20.17517857499821
49,18,B,7.290935869587909
50,18,O,0.0
50,18,Y,20.20688284262185
50,18,B,7.329880008109176
51,18,O,0.0
51,18,Y,20.165537639080377
51,18,B,7.26950067127271
52,18,O,0.0
52,18,Y,20.165511329305723
52,18,B,7.329072116185691
53,18,O,0.0
53,18,Y,20.17228639882871
53,18,B,7.285924922372754
54,18,O,0.0
54,18,Y,20.17089380494785
54,18,B,7.326028466319273
55,18,O,0.0
55,18,Y,20.17002957247366
55,18,B,7.290461688467816
56,18,O,0.0
56,18,Y,20.193850772536074
56,18,B,7.319506674533235
57,18,O,0.0
57,18,Y,20.18321576696935
57,18,B,7.305239770336185
58,18,O,0.0
58,18,Y,20.176086252235187
58,18,B,7.298100615030689
59,18,O,0.0
59,18,Y,20.177101420251788
59,18,B,7.301496707583279
60,18,O,0.0
60,18,Y,20.180426830034627
60,18,B,7.3181257976475305
61,18,O,0.0
61,18,Y,20.172788372441453
61,18,B,7.283512823458308
62,18,O,0.0
62,18,Y,20.191268928527542
62,18,B,7.333829437474491
63,18,O,0.0
63,18,Y,20.169603269359207
63,18,B,7.278364239221936
64,18,O,0.0
64,18,Y,20.184892581756102
64,18,B,7.324749198515892
65,18,O,0.0
65,18,Y,20.151011836669024
65,18,B,7.2927719235943895
66,18,O,0.0
66,18,Y,20.174489893546426
66,18,B,7.297224387365237
67,18,O,0.0
67,18,Y,20.16182284809987
67,18,B,7.321392000216865
68,18,O,0.0
68,18,Y,20.190802995514947
68,18,B,7.310267836352497
69,18,O,0.0
69,18,Y,20.181951700937066
69,18,B,7.31250606301821
70,18,O,0.0
70,18,Y,20.17226843077889
70,18,B,7.294101133090835
71,18,O,0.0
71,18,Y,20.16396867936256
71,18,B,7.297079985363863
72,18,O,0.0
72,18,Y,20.189595495939006
72,18,B,7.325090558969934
73,18,O,0.0
73,18,Y,20.1761591945964
73,18,B,7.295426631238265
74,18,O,0.0
74,18,Y,20.176067461116727
74,18,B,7.29840812832609
75,18,O,0.0
75,18,Y,20.15495664517209
75,18,B,7.304313036776838
76,18,O,0.0
76,18,Y,20.174171639132865
76,18,B,7.282239179547791
77,18,O,0.0
77,18,Y,20.172376480424706
77,18,B,7.296759207076727
78,18,O,0.0
78,18,Y,20.176954005156848
78,18,B,7.314977765468027
79,18,O,0.0
79,18,Y,20.178586735989867
79,18,B,7.2813691252740425
80,18,O,0.0
80,18,Y,20.180730781661865
80,18,B,7.324864601548174
81,18,O,0.0
81,18,Y,20.171514768545833
81,18,B,7.275784356282761
82,18,O,0.0
82,18,Y,20.184020387884413
82,18,B,7.3317286934199615
83,18,O,0.0
83,18,Y,20.14520045689411
83,18,B,7.270465902149783
84,18,O,0.0
84,18,Y,20.16213269804821
84,18,B,7.309905069591
85,18,O,0.0
85,18,Y,20.17755490929878
85,18,B,7.294592275405322
86,18,O,0.0
86,18,Y,20.187891941346106
86,18,B,7.315672577205256
87,18,O,0.0
87,18,Y,20.18029185008617
87,18,B,7.308387654676065
88,18,O,0.0
88,18,Y,20.17116672075398
88,18,B,7.306295959616998
89,18,O,0.0
89,18,Y,20.174143771752675
89,18,B,7.2809855625195965
90,18,O,0.0
90,18,Y,20.1736306793979
90,18,B,7.320338377706167
91,18,O,0.0
91,18,Y,20.176309904109885
91,18,B,7.291332434115281
92,18,O,0.0
92,18,Y,20.194233479312626
92,18,B,7.322688747677307
93,18,O,0.0
93,18,Y,20.189547936401187
93,18,B,7.294686292683919
94,18,O,0.0
94,18,Y,20.182147371865703
94,18,B,7.322968904011602
95,18,O,0.0
95,18,Y,20.168362918098
95,18,B,7.286829133993926
96,18,O,0.0
96,18,Y,20.192102171367495
96,18,B,7.331309909006746
97,18,O,0.0
97,18,Y,20.15891827843891
97,18,B,7.2729127046740665
98,18,O,0.0
98,18,Y,20.15338314005548
98,18,B,7.30692545691675
99,18,O,0.0
99,18,Y,20.17362878321626
99,18,B,7.27169787186258
100,18,O,0.0
100,18,Y,20.18864192312458
100,18,B,7.343807994151351
