t,pop,y,estrategia,frequencia
100,6,6,O,0.1855
100,6,6,Y,0.5121
100,6,6,B,0.3024
100,6,7,O,0.3589
100,6,7,Y,0.3959
100,6,7,B,0.2452
100,6,8,O,0.1167
100,6,8,Y,0.2896
100,6,8,B,0.5937
100,6,9,O,0.0542
100,6,9,Y,0.1458
100,6,9,B,0.8
100,6,10,O,0.0
100,6,10,Y,0.0
100,6,10,B,1.0
100,6,11,O,0.0
100,6,11,Y,0.0469
100,6,11,B,0.9531
100,6,12,O,0.0
100,6,12,Y,0.1586
100,6,12,B,0.8414
100,6,13,O,0.0
100,6,13,Y,0.2045
100,6,13,B,0.7955
100,6,14,O,0.0
100,6,14,Y,0.2517
100,6,14,B,0.7483
100,6,15,O,0.0
100,6,15,Y,0.3022
100,6,15,B,0.6978
100,6,16,O,0.0
100,6,16,Y,0.2799
100,6,16,B,0.7201
100,6,17,O,0.0
100,6,17,Y,0.2703
100,6,17,B,0.7297
100,6,18,O,0.0
100,6,18,Y,0.2714
100,6,18,B,0.7286
100,6,19,O,0.0
100,6,19,Y,0.2899
100,6,19,B,0.7101
100,6,20,O,0.0
100,6,20,Y,0.2583
100,6,20,B,0.7417
100,6,21,O,0.0
100,6,21,Y,0.2953
100,6,21,B,0.7047
100,6,22,O,0.0
100,6,22,Y,0.2892
100,6,22,B,0.7108
100,6,23,O,0.0
100,6,23,Y,0.2483
100,6,23,B,0.7517
100,7,0,O,0.1055
100,7,0,Y,0.8945
100,7,0,B,0.0
100,7,1,O,0.1641
100,7,1,Y,0.7195
100,7,1,B,0.1164
100,7,2,O,0.2973
100,7,2,Y,0.5263
100,7,2,B,0.1764
100,7,3,O,0.1358
100,7,3,Y,0.5786
100,7,3,B,0.2856
100,7,4,O,0.1572
100,7,4,Y,0.5494
100,7,4,B,0.2934
100,7,5,O,0.2054
100,7,5,Y,0.4899
100,7,5,B,0.3047
100,7,6,O,0.201
100,7,6,Y,0.4873
100,7,6,B,0.3117
100,7,7,O,0.3887
100,7,7,Y,0.3628
100,7,7,B,0.2485
100,7,8,O,0.1303
100,7,8,Y,0.2856
100,7,8,B,0.5841
100,7,9,O,0.0478
100,7,9,Y,0.0648
100,7,9,B,0.8874
100,7,10,O,0.0
100,7,10,Y,0.0
100,7,10,B,1.0
100,7,11,O,0.0
100,7,11,Y,0.0421
100,7,11,B,0.9579
100,7,12,O,0.0
100,7,12,Y,0.1656
100,7,12,B,0.8344
100,7,13,O,0.0
100,7,13,Y,0.2307
100,7,13,B,0.7693
100,7,14,O,0.0
100,7,14,Y,0.2408
100,7,14,B,0.7592
100,7,15,O,0.0
100,7,15,Y,0.3001
100,7,15,B,0.6999
100,7,16,O,0.0
100,7,16,Y,0.289
100,7,16,B,0.711
100,7,17,O,0.0
100,7,17,Y,0.2741
100,7,17,B,0.7259
100,7,18,O,0.0
100,7,18,Y,0.2997
100,7,18,B,0.7003
100,7,19,O,0.0
100,7,19,Y,0.2804
100,7,19,B,0.7196
100,7,20,O,0.0
100,7,20,Y,0.2716
100,7,20,B,0.7284
100,7,21,O,0.0
100,7,21,Y,0.2382
100,7,21,B,0.7618
100,7,22,O,0.0
100,7,22,Y,0.2364
100,7,22,B,0.7636
100,7,23,O,0.0
100,7,23,Y,0.2618
100,7,23,B,0.7382
100,8,0,O,0.1099
100,8,0,Y,0.8901
100,8,0,B,0.0
100,8,1,O,0.1703
100,8,1,Y,0.7049
100,8,1,B,0.1248
100,8,2,O,0.27
100,8,2,Y,0.5192
100,8,2,B,0.2108
100,8,3,O,0.1571
100,8,3,Y,0.6263
100,8,3,B,0.2166
100,8,4,O,0.1475
100,8,4,Y,0.5862
100,8,4,B,0.2663
100,8,5,O,0.2046
100,8,5,Y,0.4802
100,8,5,B,0.3152
100,8,6,O,0.2107
100,8,6,Y,0.4868
100,8,6,B,0.3025
100,8,7,O,0.4198
100,8,7,Y,0.3477
100,8,7,B,0.2325
100,8,8,O,0.134
100,8,8,Y,0.2809
100,8,8,B,0.5851
100,8,9,O,0.0453
