"","Generation","strategy","freq_media"
"370",123,"B",0.833394
"371",123,"O",0
"372",123,"Y",0.166606
"373",124,"B",0.831822
"374",124,"O",0
"375",124,"Y",0.168178
"376",125,"B",0.832231
"377",125,"O",0
"378",125,"Y",0.167769
"379",126,"B",0.832015
"380",126,"O",0
"381",126,"Y",0.167985
"382",127,"B",0.832581
"383",127,"O",0
"384",127,"Y",0.167419
"385",128,"B",0.8319
"386",128,"O",0
"387",128,"Y",0.1681
"388",129,"B",0.833194
"389",129,"O",0
"390",129,"Y",0.166806
"391",130,"B",0.833012
"392",130,"O",0
"393",130,"Y",0.166988
"394",131,"B",0.831955
"395",131,"O",0
"396",131,"Y",0.168045
"397",132,"B",0.83165
"398",132,"O",0
"399",132,"Y",0.16835
"400",133,"B",0.833873
"401",133,"O",0
"402",133,"Y",0.166127
"403",134,"B",0.832314
"404",134,"O",0
"405",134,"Y",0.167686
"406",135,"B",0.833476
"407",135,"O",0
"408",135,"Y",0.166524
"409",136,"B",0.83198
"410",136,"O",0
"411",136,"Y",0.16802
"412",137,"B",0.834609
"413",137,"O",0
"414",137,"Y",0.165391
"415",138,"B",0.831263
"416",138,"O",0
"417",138,"Y",0.168737
"418",139,"B",0.834189
"419",139,"O",0
"420",139,"Y",0.165811
"421",140,"B",0.830782
"422",140,"O",0
"423",140,"Y",0.169218
"424",141,"B",0.83458
"425",141,"O",0
"426",141,"Y",0.16542
"427",142,"B",0.829
"428",142,"O",0
"429",142,"Y",0.171
"430",143,"B",0.834398
"431",143,"O",0
"432",143,"Y",0.165602
"433",144,"B",0.831707
"434",144,"O",0
"435",144,"Y",0.168293
"436",145,"B",0.833871
"437",145,"O",0
"438",145,"Y",0.166129
"439",146,"B",0.830813
"440",146,"O",0
"441",146,"Y",0.169187
"442",147,"B",0.833868
"443",147,"O",0
"444",147,"Y",0.166132
"445",148,"B",0.830363
"446",148,"O",0
"447",148,"Y",0.169637
"448",149,"B",0.835092
"449",149,"O",0
"450",149,"Y",0.164908
"451",150,"B",0.831796
"452",150,"O",0
"453",150,"Y",0.168204
"454",151,"B",0.834413
"455",151,"O",0
"456",151,"Y",0.165587
"457",152,"B",0.829714
"458",152,"O",0
"459",152,"Y",0.170286
"460",153,"B",0.834605
"461",153,"O",0
"462",153,"Y",0.165395
"463",154,"B",0.830181
"464",154,"O",0
"465",154,"Y",0.169819
"466",155,"B",0.834401
"467",155,"O",0
"468",155,"Y",0.165599
"469",156,"B",0.830559
"470",156,"O",0
"471",156,"Y",0.169441
"472",157,"B",0.833081
"473",157,"O",0
"474",157,"Y",0.166919
"475",158,"B",0.830746
"476",158,"O",0
"477",158,"Y",0.169254
"478",159,"B",0.833678
"479",159,"O",0
"480",159,"Y",0.166322
"481",160,"B",0.831135
"482",160,"O",0
"483",160,"Y",0.168865
"484",161,"B",0.833448
"485",161,"O",0
"486",161,"Y",0.166552
"487",162,"B",0.829509
"488",162,"O",0
"489",162,"Y",0.170491
"490",163,"B",0.835967
"491",163,"O",0
"492",163,"Y",0.164033
"493",164,"B",0.828741
"494",164,"O",0
"495",164,"Y",0.171259
"496",165,"B",0.835614
"497",165,"O",0
"498",165,"Y",0.164386
"499",166,"B",0.829028
"500",166,"O",0
"501",166,"Y",0.170972
"502",167,"B",0.835392
"503",167,"O",0
"504",167,"Y",0.164608
"505",168,"B",0.828497
"506",168,"O",0
"507",168,"Y",0.171503
"508",169,"B",0.834861
"509",169,"O",0
"510",169,"Y",0.165139
"511",170,"B",0.829694
"512",170,"O",0
"513",170,"Y",0.170306
"514",171,"B",0.83483
"515",171,"O",0
"516",171,"Y",0.16517
"517",172,"B",0.829174
"518",172,"O",0
"519",172,"Y",0.170826
"520",173,"B",0.835722
"521",173,"O",0
"522",173,"Y",0.164278
"523",174,"B",0.829016
"524",174,"O",0
"525",174,"Y",0.170984
"526",175,"B",0.835455
"527",175,"O",0
"528",175,"Y",0.164545
"529",176,"B",0.83084
"530",176,"O",0
"531",176,"Y",0.16916
"532",177,"B",0.832987
"533",177,"O",0
"534",177,"Y",0.167013
"535",178,"B",0.831792
"536",178,"O",0
"537",178,"Y",0.168208
"538",179,"B",0.831657
"539",179,"O",0
"540",179,"Y",0.168343
"541",180,"B",0.832152
"542",180,"O",0
"543",180,"Y",0.167848
"544",181,"B",0.832664
"545",181,"O",0
"546",181,"Y",0.167336
"547",182,"B",0.831295
"548",182,"O",0
"549",182,"Y",0.168705
"550",183,"B",0.831478
"551",183,"O",0
"552",183,"Y",0.168522
"553",184,"B",0.833741
"554",184,"O",0
"555",184,"Y",0.166259
"556",185,"B",0.833143
"557",185,"O",0
"558",185,"Y",0.166857
"559",186,"B",0.833007
"560",186,"O",0
"561",186,"Y",0.166993
"562",187,"B",0.833898
"563",187,"O",0
"564",187,"Y",0.166102
"565",188,"B",0.830992
"566",188,"O",0
"567",188,"Y",0.169008
