"","Generation","strategy","fit_media"
"548",136,"fit_total",20.62944
"549",137,"fit_B",20.7791084527182
"550",137,"fit_O",0
"551",137,"fit_Y",18.9133830880694
"552",137,"fit_total",20.529624
"553",138,"fit_B",20.7288858837153
"554",138,"fit_O",0
"555",138,"fit_Y",18.8781131359267
"556",138,"fit_total",20.481152
"557",139,"fit_B",20.7140272586928
"558",139,"fit_O",0
"559",139,"fit_Y",18.936296302494
"560",139,"fit_total",20.471799
"561",140,"fit_B",20.941367415001
"562",140,"fit_O",0
"563",140,"fit_Y",18.8881464191182
"564",140,"fit_total",20.669921
"565",141,"fit_B",20.7353847746129
"566",141,"fit_O",0
"567",141,"fit_Y",18.898734236446
"568",141,"fit_total",20.489855
"569",142,"fit_B",20.8791610285959
"570",142,"fit_O",0
"571",142,"fit_Y",18.9300004254616
"572",142,"fit_total",20.617819
"573",143,"fit_B",20.7837868819535
"574",143,"fit_O",0
"575",143,"fit_Y",18.8895521375041
"576",143,"fit_total",20.527096
"577",144,"fit_B",21.0851644446874
"578",144,"fit_O",0
"579",144,"fit_Y",18.8885187705296
"580",144,"fit_total",20.790978
"581",145,"fit_B",20.8083665247593
"582",145,"fit_O",0
"583",145,"fit_Y",18.7781952970641
"584",145,"fit_total",20.535904
"585",146,"fit_B",20.8052358209079
"586",146,"fit_O",0
"587",146,"fit_Y",18.9371753431872
"588",146,"fit_total",20.550701
"589",147,"fit_B",20.8436263671618
"590",147,"fit_O",0
"591",147,"fit_Y",18.926943060484
"592",147,"fit_total",20.585822
"593",148,"fit_B",20.8567683618514
"594",148,"fit_O",0
"595",148,"fit_Y",18.9024936691011
"596",148,"fit_total",20.595514
"597",149,"fit_B",20.6871134708409
"598",149,"fit_O",0
"599",149,"fit_Y",18.9127934255028
"600",149,"fit_total",20.45233
"601",150,"fit_B",20.7252769418623
"602",150,"fit_O",0
"603",150,"fit_Y",18.9102472721909
"604",150,"fit_total",20.482128
"605",151,"fit_B",20.8434778353762
"606",151,"fit_O",0
"607",151,"fit_Y",18.9793837777468
"608",151,"fit_total",20.592672
"609",152,"fit_B",20.9377868903479
"610",152,"fit_O",0
"611",152,"fit_Y",18.9295889512336
"612",152,"fit_total",20.666601
"613",153,"fit_B",20.9342956825821
"614",153,"fit_O",0
"615",153,"fit_Y",18.8751590684911
"616",153,"fit_total",20.656046
"617",154,"fit_B",20.8768934109494
"618",154,"fit_O",0
"619",154,"fit_Y",18.9587818491723
"620",154,"fit_total",20.621279
"621",155,"fit_B",20.8181987430945
"622",155,"fit_O",0
"623",155,"fit_Y",18.9310553477311
"624",155,"fit_total",20.566701
"625",156,"fit_B",20.8080217891676
"626",156,"fit_O",0
"627",156,"fit_Y",18.9163796764001
"628",156,"fit_total",20.551315
"629",157,"fit_B",21.0877205664758
"630",157,"fit_O",0
"631",157,"fit_Y",18.9139219632097
"632",157,"fit_total",20.797289
"633",158,"fit_B",20.7304459826021
"634",158,"fit_O",0
"635",158,"fit_Y",18.8556915318208
"636",158,"fit_total",20.475328
"637",159,"fit_B",21.0054516899376
"638",159,"fit_O",0
"639",159,"fit_Y",18.95958990207
"640",159,"fit_total",20.731605
"641",160,"fit_B",20.7301684480039
"642",160,"fit_O",0
"643",160,"fit_Y",18.7947759169518
"644",160,"fit_total",20.471853
"645",161,"fit_B",20.8211018401579
"646",161,"fit_O",0
