Generation,O,Y,B,sim
44,0.0,0.1406,0.8594,2
45,0.0,0.1189,0.8811,2
46,0.0,0.1472,0.8528,2
47,0.0,0.1115,0.8885,2
48,0.0,0.1647,0.8353,2
49,0.0,0.1152,0.8848,2
50,0.0,0.1566,0.8434,2
51,0.0,0.1165,0.8835,2
52,0.0,0.1526,0.8474,2
53,0.0,0.1295,0.8705,2
54,0.0,0.164,0.836,2
55,0.0,0.1271,0.8729,2
56,0.0,0.1895,0.8105,2
57,0.0,0.1163,0.8837,2
58,0.0,0.1608,0.8392,2
59,0.0,0.1288,0.8712,2
60,0.0,0.1766,0.8234,2
61,0.0,0.1189,0.8811,2
62,0.0,0.1518,0.8482,2
63,0.0,0.1272,0.8728,2
64,0.0,0.1751,0.8249,2
65,0.0,0.1131,0.8869,2
66,0.0,0.1789,0.8211,2
67,0.0,0.1098,0.8902,2
68,0.0,0.172,0.828,2
69,0.0,0.099,0.901,2
70,0.0,0.1727,0.8273,2
71,0.0,0.0974,0.9026,2
72,0.0,0.1442,0.8558,2
73,0.0,0.1007,0.8993,2
74,0.0,0.1637,0.8363,2
75,0.0,0.1218,0.8782,2
76,0.0,0.1671,0.8329,2
77,0.0,0.1184,0.8816,2
78,0.0,0.1419,0.8581,2
79,0.0,0.1325,0.8675,2
80,0.0,0.1329,0.8671,2
81,0.0,0.1291,0.8709,2
82,0.0,0.1388,0.8612,2
83,0.0,0.1337,0.8663,2
84,0.0,0.1585,0.8415,2
85,0.0,0.1321,0.8679,2
86,0.0,0.1495,0.8505,2
87,0.0,0.1393,0.8607,2
88,0.0,0.1576,0.8424,2
89,0.0,0.1296,0.8704,2
90,0.0,0.1296,0.8704,2
91,0.0,0.1476,0.8524,2
92,0.0,0.1323,0.8677,2
93,0.0,0.1418,0.8582,2
94,0.0,0.1462,0.8538,2
95,0.0,0.1383,0.8617,2
96,0.0,0.1513,0.8487,2
97,0.0,0.149,0.851,2
98,0.0,0.1478,0.8522,2
99,0.0,0.1607,0.8393,2
100,0.0,0.1356,0.8644,2
101,0.0,0.1336,0.8664,2
102,0.0,0.1455,0.8545,2
103,0.0,0.1417,0.8583,2
104,0.0,0.1418,0.8582,2
105,0.0,0.1372,0.8628,2
106,0.0,0.1502,0.8498,2
107,0.0,0.1323,0.8677,2
108,0.0,0.1581,0.8419,2
109,0.0,0.138,0.862,2
110,0.0,0.152,0.848,2
111,0.0,0.143,0.857,2
112,0.0,0.1407,0.8593,2
113,0.0,0.146,0.854,2
114,0.0,0.1441,0.8559,2
115,0.0,0.1386,0.8614,2
116,0.0,0.1535,0.8465,2
117,0.0,0.1226,0.8774,2
118,0.0,0.147,0.853,2
119,0.0,0.1254,0.8746,2
120,0.0,0.1554,0.8446,2
121,0.0,0.1215,0.8785,2
122,0.0,0.1739,0.8261,2
123,0.0,0.1285,0.8715,2
124,0.0,0.1531,0.8469,2
125,0.0,0.1252,0.8748,2
126,0.0,0.143,0.857,2
127,0.0,0.1246,0.8754,2
128,0.0,0.1677,0.8323,2
129,0.0,0.1316,0.8684,2
130,0.0,0.1689,0.8311,2
131,0.0,0.1173,0.8827,2
132,0.0,0.166,0.834,2
133,0.0,0.1293,0.8707,2
134,0.0,0.1469,0.8531,2
135,0.0,0.1328,0.8672,2
136,0.0,0.1638,0.8362,2
137,0.0,0.1258,0.8742,2
138,0.0,0.1391,0.8609,2
139,0.0,0.13,0.87,2
140,0.0,0.1642,0.8358,2
141,0.0,0.1273,0.8727,2
142,0.0,0.1695,0.8305,2
143,0.0,0.1283,0.8717,2
144,0.0,0.1618,0.8382,2
145,0.0,0.1291,0.8709,2
146,0.0,0.1622,0.8378,2
147,0.0,0.1315,0.8685,2
148,0.0,0.1563,0.8437,2
149,0.0,0.1313,0.8687,2
150,0.0,0.1426,0.8574,2
151,0.0,0.1356,0.8644,2
152,0.0,0.1586,0.8414,2
153,0.0,0.1529,0.8471,2
154,0.0,0.1392,0.8608,2
155,0.0,0.15,0.85,2
156,0.0,0.1389,0.8611,2
157,0.0,0.149,0.851,2
158,0.0,0.1555,0.8445,2
159,0.0,0.1312,0.8688,2
160,0.0,0.1402,0.8598,2
161,0.0,0.1158,0.8842,2
162,0.0,0.1671,0.8329,2
163,0.0,0.1208,0.8792,2
164,0.0,0.1598,0.8402,2
165,0.0,0.131,0.869,2
166,0.0,0.1626,0.8374,2
167,0.0,0.1139,0.8861,2
168,0.0,0.1455,0.8545,2
169,0.0,0.1098,0.8902,2
170,0.0,0.1851,0.8149,2
171,0.0,0.1071,0.8929,2
172,0.0,0.1648,0.8352,2
173,0.0,0.1077,0.8923,2
174,0.0,0.1716,0.8284,2
175,0.0,0.1144,0.8856,2
176,0.0,0.1654,0.8346,2
177,0.0,0.1097,0.8903,2
178,0.0,0.1589,0.8411,2
179,0.0,0.117,0.883,2
180,0.0,0.1772,0.8228,2
181,0.0,0.1237,0.8763,2
182,0.0,0.1671,0.8329,2
183,0.0,0.1171,0.8829,2
184,0.0,0.1472,0.8528,2
185,0.0,0.1253,0.8747,2
186,0.0,0.1643,0.8357,2
187,0.0,0.1239,0.8761,2
188,0.0,0.1775,0.8225,2
189,0.0,0.136,0.864,2
190,0.0,0.1535,0.8465,2
191,0.0,0.1238,0.8762,2
192,0.0,0.1477,0.8523,2
193,0.0,0.1294,0.8706,2
194,0.0,0.1452,0.8548,2
195,0.0,0.1384,0.8616,2
196,0.0,0.157,0.843,2
197,0.0,0.1387,0.8613,2
198,0.0,0.1438,0.8562,2
199,0.0,0.1338,0.8662,2
200,0.0,0.1433,0.8567,2
0,0.3402,0.3357,0.3241,3
1,0.0053,0.975,0.0197,3
2,0.0,0.5861,0.4139,3
3,0.0,0.1646,0.8354,3
4,0.0,0.0722,0.9278,3
5,0.0,0.0997,0.9003,3
6,0.0,0.1113,0.8887,3
7,0.0,0.1516,0.8484,3
8,0.0,0.1207,0.8793,3
9,0.0,0.1644,0.8356,3
10,0.0,0.139,0.861,3
11,0.0,0.1445,0.8555,3
12,0.0,0.1394,0.8606,3
13,0.0,0.1617,0.8383,3
14,0.0,0.1395,0.8605,3
15,0.0,0.1373,0.8627,3
16,0.0,0.1511,0.8489,3
17,0.0,0.1339,0.8661,3
18,0.0,0.1573,0.8427,3
19,0.0,0.1311,0.8689,3
20,0.0,0.1511,0.8489,3
21,0.0,0.1379,0.8621,3
22,0.0,0.1631,0.8369,3
23,0.0,0.1166,0.8834,3
24,0.0,0.153,0.847,3
25,0.0,0.1106,0.8894,3
26,0.0,0.1697,0.8303,3
27,0.0,0.1175,0.8825,3
28,0.0,0.165,0.835,3
29,0.0,0.1274,0.8726,3
30,0.0,0.1846,0.8154,3
31,0.0,0.1156,0.8844,3
32,0.0,0.1625,0.8375,3
33,0.0,0.1024,0.8976,3
34,0.0,0.1482,0.8518,3
35,0.0,0.1107,0.8893,3
36,0.0,0.1474,0.8526,3
37,0.0,0.1325,0.8675,3
38,0.0,0.1497,0.8503,3
39,0.0,0.1307,0.8693,3
40,0.0,0.1582,0.8418,3
41,0.0,0.1341,0.8659,3
42,0.0,0.1379,0.8621,3
43,0.0,0.1212,0.8788,3
44,0.0,0.1527,0.8473,3
45,0.0,0.134,0.866,3
46,0.0,0.1353,0.8647,3
47,0.0,0.1366,0.8634,3
48,0.0,0.1312,0.8688,3
49,0.0,0.1421,0.8579,3
50,0.0,0.1337,0.8663,3
51,0.0,0.1565,0.8435,3
52,0.0,0.1501,0.8499,3
53,0.0,0.1419,0.8581,3
54,0.0,0.1241,0.8759,3
55,0.0,0.1533,0.8467,3
56,0.0,0.1414,0.8586,3
57,0.0,0.1647,0.8353,3
58,0.0,0.1246,0.8754,3
59,0.0,0.1491,0.8509,3
60,0.0,0.1472,0.8528,3
61,0.0,0.1376,0.8624,3
62,0.0,0.1634,0.8366,3
63,0.0,0.1325,0.8675,3
64,0.0,0.1523,0.8477,3
65,0.0,0.1334,0.8666,3
66,0.0,0.1615,0.8385,3
67,0.0,0.1047,0.8953,3
68,0.0,0.1609,0.8391,3
69,0.0,0.1159,0.8841,3
70,0.0,0.1684,0.8316,3
71,0.0,0.1321,0.8679,3
72,0.0,0.1428,0.8572,3
73,0.0,0.1157,0.8843,3
74,0.0,0.1524,0.8476,3
75,0.0,0.1439,0.8561,3
76,0.0,0.1442,0.8558,3
77,0.0,0.1245,0.8755,3
78,0.0,0.1443,0.8557,3
79,0.0,0.1228,0.8772,3
80,0.0,0.1559,0.8441,3
81,0.0,0.1399,0.8601,3
