Generation,O,Y,B,sim
199,0.0672,0.8691,0.0637,2
200,0.0725,0.8639,0.0636,2
0,0.3402,0.3357,0.3241,3
1,0.5182,0.3771,0.1047,3
2,0.2327,0.7434,0.0239,3
3,0.1043,0.8766,0.0191,3
4,0.0707,0.9074,0.0219,3
5,0.0673,0.9095,0.0232,3
6,0.0716,0.9054,0.023,3
7,0.0689,0.9075,0.0236,3
8,0.0674,0.9075,0.0251,3
9,0.0661,0.907,0.0269,3
10,0.0688,0.9041,0.0271,3
11,0.0657,0.9049,0.0294,3
12,0.0686,0.9002,0.0312,3
13,0.0719,0.8965,0.0316,3
14,0.0709,0.8967,0.0324,3
15,0.072,0.8948,0.0332,3
16,0.0736,0.8924,0.034,3
17,0.0722,0.8931,0.0347,3
18,0.0743,0.8912,0.0345,3
19,0.0751,0.8911,0.0338,3
20,0.0733,0.8927,0.034,3
21,0.0714,0.894,0.0346,3
22,0.0736,0.8919,0.0345,3
23,0.072,0.8927,0.0353,3
24,0.0722,0.8919,0.0359,3
25,0.0733,0.8909,0.0358,3
26,0.0741,0.89,0.0359,3
27,0.0732,0.89,0.0368,3
28,0.0747,0.8887,0.0366,3
29,0.0709,0.8917,0.0374,3
30,0.0721,0.8903,0.0376,3
31,0.0746,0.8877,0.0377,3
32,0.0723,0.8892,0.0385,3
33,0.0716,0.8894,0.039,3
34,0.0733,0.8886,0.0381,3
35,0.0732,0.8882,0.0386,3
36,0.0742,0.887,0.0388,3
37,0.0751,0.8863,0.0386,3
38,0.074,0.8875,0.0385,3
39,0.0724,0.889,0.0386,3
40,0.0736,0.8877,0.0387,3
41,0.0716,0.8894,0.039,3
42,0.0737,0.887,0.0393,3
43,0.0749,0.8858,0.0393,3
44,0.0735,0.8871,0.0394,3
45,0.0725,0.8879,0.0396,3
46,0.0759,0.8855,0.0386,3
47,0.0735,0.8873,0.0392,3
48,0.0733,0.8873,0.0394,3
49,0.0732,0.8875,0.0393,3
50,0.0731,0.8879,0.039,3
51,0.0739,0.8867,0.0394,3
52,0.0749,0.8857,0.0394,3
53,0.0727,0.8877,0.0396,3
54,0.0742,0.8866,0.0392,3
55,0.0758,0.8855,0.0387,3
56,0.0739,0.8871,0.039,3
57,0.0722,0.8881,0.0397,3
58,0.0744,0.8867,0.0389,3
59,0.0721,0.8888,0.0391,3
60,0.0734,0.887,0.0396,3
61,0.0743,0.8864,0.0393,3
62,0.0748,0.8858,0.0394,3
63,0.0744,0.8861,0.0395,3
64,0.0753,0.886,0.0387,3
65,0.0718,0.8892,0.039,3
66,0.0737,0.8872,0.0391,3
67,0.0749,0.8858,0.0393,3
68,0.073,0.8875,0.0395,3
69,0.0721,0.8883,0.0396,3
70,0.0744,0.8868,0.0388,3
71,0.074,0.8868,0.0392,3
72,0.0746,0.8856,0.0398,3
73,0.0751,0.8858,0.0391,3
74,0.0737,0.8876,0.0387,3
75,0.0728,0.888,0.0392,3
76,0.0746,0.8864,0.039,3
77,0.0716,0.8888,0.0396,3
78,0.074,0.8865,0.0395,3
79,0.0747,0.8862,0.0391,3
80,0.0738,0.8868,0.0394,3
81,0.0735,0.887,0.0395,3
82,0.0759,0.8854,0.0387,3
83,0.0733,0.8877,0.039,3
84,0.0728,0.8878,0.0394,3
85,0.0733,0.8875,0.0392,3
86,0.0737,0.8873,0.039,3
87,0.0738,0.8865,0.0397,3
88,0.0748,0.8859,0.0393,3
89,0.0722,0.8884,0.0394,3
90,0.0743,0.8865,0.0392,3
91,0.0764,0.8849,0.0387,3
92,0.0738,0.8869,0.0393,3
93,0.0721,0.8883,0.0396,3
94,0.0739,0.8874,0.0387,3
95,0.0722,0.8887,0.0391,3
96,0.074,0.8864,0.0396,3
97,0.0742,0.8862,0.0396,3
98,0.0747,0.886,0.0393,3
99,0.0739,0.8868,0.0393,3
100,0.0754,0.8859,0.0387,3
101,0.0724,0.8886,0.039,3
102,0.0736,0.887,0.0394,3
103,0.0748,0.886,0.0392,3
104,0.0725,0.8882,0.0393,3
105,0.0722,0.8882,0.0396,3
106,0.075,0.8862,0.0388,3
107,0.0739,0.8866,0.0395,3
108,0.0745,0.8858,0.0397,3
109,0.0746,0.8865,0.0389,3
110,0.0738,0.8875,0.0387,3
111,0.0734,0.8874,0.0392,3
112,0.0745,0.8862,0.0393,3
113,0.0715,0.889,0.0395,3
114,0.0735,0.8872,0.0393,3
115,0.0748,0.8861,0.0391,3
116,0.0744,0.8862,0.0394,3
117,0.0734,0.8868,0.0398,3
118,0.0758,0.8856,0.0386,3
119,0.0728,0.8884,0.0388,3
120,0.0729,0.8877,0.0394,3
121,0.0739,0.8869,0.0392,3
122,0.0736,0.8871,0.0393,3
123,0.0737,0.8867,0.0396,3
124,0.0743,0.8866,0.0391,3
125,0.0723,0.8883,0.0394,3
126,0.0749,0.8859,0.0392,3
127,0.0763,0.8847,0.039,3
128,0.0737,0.8871,0.0392,3
129,0.0716,0.889,0.0394,3
130,0.074,0.8873,0.0387,3
131,0.0728,0.8881,0.0391,3
132,0.0739,0.8862,0.0399,3
133,0.0741,0.8864,0.0395,3
134,0.0742,0.8867,0.0391,3
135,0.074,0.8867,0.0393,3
136,0.076,0.8853,0.0387,3
137,0.0723,0.8884,0.0393,3
138,0.0735,0.8872,0.0393,3
139,0.0743,0.8867,0.039,3
140,0.0726,0.8881,0.0393,3
141,0.0728,0.8876,0.0396,3
142,0.0749,0.886,0.0391,3
143,0.0738,0.8868,0.0394,3
144,0.074,0.8865,0.0395,3
145,0.0747,0.8864,0.0389,3
146,0.0744,0.8869,0.0387,3
