y,o,prop_B_mantida,prop_O_mantida,prop_Y_mantida
15,5,1.0,0.0,0.0
15,6,1.0,0.0,0.0
15,7,1.0,0.0,0.0
15,8,1.0,0.0,0.0
15,9,1.0,0.0,0.0
15,10,1.0,0.0,0.0
15,11,1.0,0.01,0.01
15,12,1.0,0.01,0.01
15,13,1.0,0.0,0.0
15,14,1.0,0.0,0.02
15,15,0.98,0.0,0.17
15,16,0.7,0.01,0.68
15,17,0.43,0.0,0.85
15,18,0.36,0.0,0.88
15,19,0.29,0.0,0.95
15,20,0.21,0.0,0.95
15,21,0.16,0.0,0.97
15,22,0.14,0.0,0.98
15,23,0.06,0.0,0.97
15,24,0.07,0.0,0.98
16,1,1.0,0.0,0.0
16,2,1.0,0.0,0.0
16,3,1.0,0.0,0.0
16,4,1.0,0.0,0.0
16,5,1.0,0.0,0.0
16,6,1.0,0.0,0.0
16,7,1.0,0.0,0.0
16,8,1.0,0.0,0.0
16,9,1.0,0.0,0.0
16,10,1.0,0.0,0.0
16,11,1.0,0.0,0.0
16,12,1.0,0.0,0.0
16,13,1.0,0.0,0.0
16,14,1.0,0.0,0.0
16,15,0.96,0.0,0.06
16,16,0.79,0.0,0.3
16,17,0.69,0.0,0.39
16,18,0.63,0.0,0.47
16,19,0.44,0.0,0.65
16,20,0.36,0.0,0.72
16,21,0.28,0.01,0.77
16,22,0.21,0.01,0.83
16,23,0.15,0.0,0.9
16,24,0.12,0.01,0.91
17,1,1.0,0.0,0.0
17,2,1.0,0.0,0.0
17,3,1.0,0.0,0.0
17,4,1.0,0.0,0.0
17,5,1.0,0.0,0.0
17,6,1.0,0.0,0.0
17,7,1.0,0.0,0.0
17,8,1.0,0.0,0.0
17,9,1.0,0.0,0.0
17,10,1.0,0.0,0.0
17,11,1.0,0.0,0.0
17,12,1.0,0.0,0.0
17,13,1.0,0.0,0.0
17,14,1.0,0.0,0.0
17,15,1.0,0.0,0.0
17,16,0.99,0.0,0.01
17,17,0.95,0.0,0.05
17,18,0.92,0.0,0.08
17,19,0.83,0.0,0.17
17,20,0.82,0.0,0.18
17,21,0.72,0.02,0.3
17,22,0.64,0.04,0.4
17,23,0.57,0.03,0.46
17,24,0.53,0.01,0.48
18,1,1.0,0.0,0.0
18,2,1.0,0.0,0.0
18,3,1.0,0.0,0.0
18,4,1.0,0.0,0.0
18,5,1.0,0.0,0.0
18,6,1.0,0.0,0.0
18,7,1.0,0.0,0.0
18,8,1.0,0.0,0.0
18,9,1.0,0.0,0.0
18,10,1.0,0.0,0.0
18,11,1.0,0.0,0.0
18,12,1.0,0.0,0.0
18,13,1.0,0.0,0.0
18,14,1.0,0.01,0.01
