y,o,media_estrategias_mantidas,std_estrategias_mantidas
23,1,2.0,0.0
23,2,2.0,0.0
23,3,2.0,0.0
23,4,2.0,0.0
23,5,2.0,0.0
23,6,2.0,0.0
23,7,2.0,0.0
23,8,2.0,0.0
23,9,2.0,0.0
23,10,2.0,0.0
23,11,2.0,0.0
23,12,2.0,0.0
23,13,2.0,0.0
23,14,2.0,0.0
23,15,2.01,0.1
23,16,2.25,0.4351941398892446
23,17,2.77,0.4229525846816507
23,18,2.97,0.17144660799776534
23,19,3.0,0.0
23,20,3.0,0.0
23,21,3.0,0.0
23,22,3.0,0.0
23,23,3.0,0.0
23,24,3.0,0.0
24,1,2.0,0.0
24,2,2.0,0.0
24,3,2.0,0.0
24,4,2.0,0.0
24,5,2.0,0.0
24,6,2.0,0.0
24,7,2.0,0.0
24,8,2.0,0.0
24,9,2.0,0.0
24,10,2.0,0.0
24,11,2.0,0.0
24,12,2.0,0.0
24,13,2.0,0.0
24,14,2.0,0.0
24,15,2.01,0.09999999999999999
24,16,2.21,0.4093601807403323
24,17,2.7,0.4605661864718382
24,18,3.0,0.0
24,19,3.0,0.0
24,20,3.0,0.0
24,21,3.0,0.0
24,22,3.0,0.0
24,23,3.0,0.0
24,24,3.0,0.0
