t,pop,estrategia,n_vizinhos
2,85,B,37.368
2,86,O,48.0
2,86,Y,47.38068965517241
2,86,B,36.23963963963964
2,87,O,48.0
2,87,Y,47.18268933539413
2,87,B,38.18009478672986
2,88,O,48.0
2,88,Y,47.489297406194915
2,88,B,38.080691642651296
2,89,O,48.0
2,89,Y,47.34304461942257
2,89,B,40.028112449799195
2,90,O,48.0
2,90,Y,47.41351415655484
2,90,B,38.533557046979865
2,91,O,48.0
2,91,Y,47.455085183273106
2,91,B,36.747680890538035
2,92,O,48.0
2,92,Y,47.38310752378207
2,92,B,43.490196078431374
2,93,O,48.0
2,93,Y,47.35351153039832
2,93,B,35.74031007751938
2,94,O,48.0
2,94,Y,47.335653753026634
2,94,B,36.354026845637584
2,95,O,48.0
2,95,Y,47.32680956818888
2,95,B,38.60323886639676
2,96,O,48.0
2,96,Y,47.328305952060326
2,96,B,39.28846153846154
2,97,O,48.0
2,97,Y,47.39239615113823
2,97,B,38.673151750972764
2,98,O,48.0
2,98,Y,47.32229639519359
2,98,B,36.800959232613906
2,99,O,48.0
2,99,Y,47.41367088607595
2,99,B,37.57692307692308
3,0,O,48.0
3,0,Y,47.8801400959917
3,0,B,38.752941176470586
3,1,O,48.0
3,1,Y,47.87312165163988
3,1,B,37.140921409214094
3,2,O,48.0
3,2,Y,47.924749783763744
3,2,B,34.99271844660194
3,3,O,48.0
3,3,Y,47.896465312582436
3,3,B,36.65371621621622
3,4,O,48.0
3,4,Y,47.861496244945116
3,4,B,33.95263157894737
3,5,O,48.0
3,5,Y,47.88225322727865
3,5,B,34.143847487001736
3,6,O,48.0
3,6,Y,47.88606811145511
3,6,B,37.64102564102564
3,7,O,48.0
3,7,Y,47.8626878130217
3,7,B,36.136842105263156
3,8,O,48.0
3,8,Y,47.81932163125247
3,8,B,35.48802395209581
3,9,O,48.0
3,9,Y,47.8994113130279
3,9,B,37.32692307692308
3,10,O,48.0
3,10,Y,47.84436940243723
3,10,B,36.719298245614034
3,11,O,48.0
3,11,Y,47.83504885993485
3,11,B,33.36190476190476
3,12,O,48.0
3,12,Y,47.830711308323245
3,12,B,38.57055214723926
3,13,O,48.0
3,13,Y,47.92579207324419
3,13,B,36.175097276264594
3,14,O,48.0
3,14,Y,47.86657963446475
3,14,B,34.99340659340659
3,15,O,48.0
3,15,Y,47.876214511041006
3,15,B,36.509433962264154
3,16,O,48.0
3,16,Y,47.86293816463174
3,16,B,38.760416666666664
3,17,O,48.0
3,17,Y,47.89249293525003
3,17,B,37.26842105263158
3,18,O,48.0
3,18,Y,47.84868837916614
3,18,B,37.73737373737374
3,19,O,48.0
3,19,Y,47.88145774929916
3,19,B,36.19693654266958
3,20,O,48.0
3,20,Y,47.9168765743073
3,20,B,39.40196078431372
3,21,O,48.0
